album,artist,genre,subgenres
"good kid, m.A.A.d city",Kendrick Lamar,Hip Hop,"Conscious Hip Hop, G-Funk, Gangsta Rap, Jazz Rap, Pop Rap, West Coast Hip Hop, Concept Album"
Graduation,Kanye West,Hip Hop,"Alternative Hip Hop, Chicago Hip Hop, Electro-Hop, Pop Rap, Progressive Hip Hop, Synthpop"
Gunfighter Ballads And Trail Songs,Marty Robbins,Rock,"Americana, Country, Cowboy Western, Folk, Western Swing"
Heaven and Hell,Black Sabbath,Rock,"Classic Metal, Doom Metal, Hard Rock, Heavy Metal"
Here Comes The Cowboy,Mac DeMarco,Rock,"Alternative Rock, Bedroom Pop, Indie Folk, Indie Pop, Indie Rock, Lo-Fi, Slacker Rock, Soft Rock"
High Off Life,Future,Hip Hop,"Atlanta Hip Hop, Mumble Rap, Pop Rap, Psychedelic Trap, Southern Hip Hop, Trap"
HNDRXX,Future,Hip Hop,"Alternative R&B, Contemporary R&B, Melodic Rap, Pop Rap, Soul Trap, Trap"
Hollywood's Bleeding,Post Malone,Hip Hop,"Alternative R&B, Alternative Rock, Emo Rap, Pop Rap, Pop Rock, Synthpop, Trap"
Hotel California,Eagles,Rock,"Classic Rock, Country Rock, Folk Rock, Pop Rock, Soft Rock, Southern Rock"
Hounds of Love,Kate Bush,Pop,"Alternative Rock, Art Pop, Art Rock, Avant-Pop, Baroque Pop, Dream Pop, Progressive Pop, Synthpop"
Houses of the Holy,Led Zeppelin,Rock,"Blues Rock, Classic Rock, Funk Rock, Hard Rock, Progressive Rock, Psychedelic Rock, Reggae Rock"
"Huncho Jack, Jack Huncho","Quavo, Travis Scott, Huncho Jack",Hip Hop,"Atlanta Hip Hop, Mumble Rap, Pop Rap, Psychedelic Trap, Southern Hip Hop, Trap"
i am > i was,21 Savage,Hip Hop,"Atlanta Hip Hop, Conscious Hip Hop, Gangsta Rap, Melodic Rap, Mumble Rap, Pop Rap, Southern Hip Hop, Trap"
If You're Reading This It's Too Late,Drake,Hip Hop,"Alternative R&B, Conscious Hip Hop, Pop Rap, Trap, Toronto Sound"
IGOR,"Tyler, The Creator",Hip Hop,"Alternative Hip Hop, Alternative R&B, Art Pop, Experimental Hip Hop, Neo-Soul, Pop Rap, Progressive R&B, Psychedelic Soul, Synthpop"
Illmatic,Nas,Hip Hop,"Boom Bap, Conscious Hip Hop, East Coast Hip Hop, Hardcore Hip Hop, Jazz Rap"
Imperial,Denzel Curry,Hip Hop,"Cloud Rap, Conscious Hip Hop, Hardcore Hip Hop, Southern Hip Hop, Trap"
I'm Up,Young Thug,Hip Hop,"Atlanta Hip Hop, Mumble Rap, Pop Rap, Southern Hip Hop, Trap"
